
LTL template,Sentence,LTL
F(a F(b)),Go to the Nelson Fitness Center and then go to the Barus Building,F ( Nelson Fitness Center & F ( Barus Building ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the Watson Center,F ( Nelson Fitness Center & F ( Watson Center ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the Marston Hall,F ( Nelson Fitness Center & F ( Marston Hall ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the FedEx Office,F ( Nelson Fitness Center & F ( FedEx Office ) )
G(a) & F(b),Stay on the Thayer St and find the Bookstore,G ( Thayer St ) & F ( Bookstore )
G(a) & F(b),Stay on the Thayer St and find the Science Library,G ( Thayer St ) & F ( Science Library )
G(a) & F(b),Stay on the Thayer St and find the Starbucks,G ( Thayer St ) & F ( Starbucks )
G(a) & F(b),Stay on the Thayer St and find the Chipotle,G ( Thayer St ) & F ( Chipotle )
G(a) & F(b),Stay on the Thayer St and find the Kabob and Curry,G ( Thayer St ) & F ( Kabob and Curry )
G(a) & F(b),Stay on the Thayer St and find the CVS,G ( Thayer St ) & F ( CVS )
G(a) & F(b),Stay on the Brook St and find the Citizen's Bank,G ( Brook St ) & F ( Citizen's Bank )
G(a) & F(b),Stay on the Brook St and find the Barus Building,G ( Brook St ) & F ( Barus Building )
G(a) & F(b),Stay on the Brook St and find the Watson Center,G ( Brook St ) & F ( Watson Center )
G(a) & F(b),Stay on the Brook St and find the Marston Hall,G ( Brook St ) & F ( Marston Hall )
G(a) & F(b),Stay on the Angell St and find the Chipotle,G ( Angell St  ) & F ( Chipotle )
G(a) & F(b),Stay on the Angell St and find the Bookstore,G ( Angell St  ) & F ( Bookstore )
G(a) & F(b),Do not leave the Thayer St and find the Bookstore,G ( Thayer St ) & F ( Bookstore )
G(a) & F(b),Do not leave the Thayer St and find the Science Library,G ( Thayer St ) & F ( Science Library )
G(a) & F(b),Do not leave the Thayer St and find the Starbucks,G ( Thayer St ) & F ( Starbucks )
G(a) & F(b),Do not leave the Thayer St and find the Chipotle,G ( Thayer St ) & F ( Chipotle )
G(a) & F(b),Do not leave the Thayer St and find the Kabob and Curry,G ( Thayer St ) & F ( Kabob and Curry )
G(a) & F(b),Do not leave the Thayer St and find the CVS,G ( Thayer St ) & F ( CVS )
G(a) & F(b),Do not leave the Brook St and find the Citizen's Bank,G ( Brook St ) & F ( Citizen's Bank )
G(a) & F(b),Do not leave the Brook St and find the Barus Building,G ( Brook St ) & F ( Barus Building )
G(a) & F(b),Do not leave the Brook St and find the Watson Center,G ( Brook St ) & F ( Watson Center )
G(a) & F(b),Do not leave the Brook St and find the Marston Hall,G ( Brook St ) & F ( Marston Hall )
G(a) & F(b),Do not leave the Angell St and find the Chipotle,G ( Angell St  ) & F ( Chipotle )
G(a) & F(b),Do not leave the Angell St and find the Bookstore,G ( Angell St  ) & F ( Bookstore )
G(!a) & F(b),Do not enter Brook St and find the Bookstore,G ( ! Brook St ) & F ( Bookstore )
G(!a) & F(b),Do not enter Brook St and find the Science Library,G ( ! Brook St ) & F ( Science Library )
G(!a) & F(b),Do not enter Brook St and find the Starbucks,G ( ! Brook St ) & F ( Starbucks )
G(!a) & F(b),Do not enter Brook St and find the Chipotle,G ( ! Brook St ) & F ( Chipotle )
G(!a) & F(b),Do not enter Brook St and find the Kabob and Curry,G ( ! Brook St ) & F ( Kabob and Curry )
G(!a) & F(b),Do not enter Brook St and find the CVS,G ( ! Brook St ) & F ( CVS )
G(!a) & F(b),Do not enter Brook St and find the Chipotle,G ( ! Brook St ) & F ( Chipotle )
G(!a) & F(b),Do not enter Brook St and find the Bookstore,G ( ! Brook St ) & F ( Bookstore )
G(!a) & F(b),Do not enter Thayer St and find the Citizen's Bank,G ( ! Thayer St ) & F ( Citizen's Bank )
G(!a) & F(b),Do not enter Thayer St and find the Barus Building,G ( ! Thayer St ) & F ( Barus Building )
G(!a) & F(b),Do not enter Thayer St and find the Watson Center,G ( ! Thayer St ) & F ( Watson Center )
G(!a) & F(b),Do not enter Thayer St and find the Marston Hall,G ( ! Thayer St ) & F ( Marston Hall )
G(!a) & F(b),Do not enter Thayer St and find the Chipotle,G ( ! Thayer St ) & F ( Chipotle )
G(!a) & F(b),Do not enter Thayer St and find the Bookstore,G ( ! Thayer St ) & F ( Bookstore )
G(!a) & F(b),Do not enter Angell St and find the Bookstore,G ( ! Angell St ) & F ( Bookstore )
G(!a) & F(b),Do not enter Angell St and find the Science Library,G ( ! Angell St ) & F ( Science Library )
G(!a) & F(b),Do not enter Angell St and find the Starbucks,G ( ! Angell St ) & F ( Starbucks )
G(!a) & F(b),Do not enter Angell St and find the Chipotle,G ( ! Angell St ) & F ( Chipotle )
G(!a) & F(b),Do not enter Angell St and find the Kabob and Curry,G ( ! Angell St ) & F ( Kabob and Curry )
G(!a) & F(b),Do not enter Angell St and find the CVS,G ( ! Angell St ) & F ( CVS )
G(!a) & F(b),Do not enter Angell St and find the Citizen's Bank,G ( ! Angell St ) & F ( Citizen's Bank )
G(!a) & F(b),Do not enter Angell St and find the Barus Building,G ( ! Angell St ) & F ( Barus Building )
G(!a) & F(b),Do not enter Angell St and find the Watson Center,G ( ! Angell St ) & F ( Watson Center )
G(!a) & F(b),Do not enter Angell St and find the Marston Hall,G ( ! Angell St ) & F ( Marston Hall )
G(!a) & F(b),Stay away from Brook St and find the Bookstore,G ( ! Brook St ) & F ( Bookstore )
G(!a) & F(b),Stay away from Brook St and find the Science Library,G ( ! Brook St ) & F ( Science Library )
G(!a) & F(b),Stay away from Brook St and find the Starbucks,G ( ! Brook St ) & F ( Starbucks )
G(!a) & F(b),Stay away from Brook St and find the Chipotle,G ( ! Brook St ) & F ( Chipotle )
G(!a) & F(b),Stay away from Brook St and find the Kabob and Curry,G ( ! Brook St ) & F ( Kabob and Curry )
G(!a) & F(b),Stay away from Brook St and find the CVS,G ( ! Brook St ) & F ( CVS )
G(!a) & F(b),Stay away from Brook St and find the Chipotle,G ( ! Brook St ) & F ( Chipotle )
G(!a) & F(b),Stay away from Brook St and find the Bookstore,G ( ! Brook St ) & F ( Bookstore )
G(!a) & F(b),Stay away from Thayer St and find the Citizen's Bank,G ( ! Thayer St ) & F ( Citizen's Bank )
G(!a) & F(b),Stay away from Thayer St and find the Barus Building,G ( ! Thayer St ) & F ( Barus Building )
G(!a) & F(b),Stay away from Thayer St and find the Watson Center,G ( ! Thayer St ) & F ( Watson Center )
G(!a) & F(b),Stay away from Thayer St and find the Marston Hall,G ( ! Thayer St ) & F ( Marston Hall )
G(!a) & F(b),Stay away from Thayer St and find the Chipotle,G ( ! Thayer St ) & F ( Chipotle )
G(!a) & F(b),Stay away from Thayer St and find the Bookstore,G ( ! Thayer St ) & F ( Bookstore )
G(!a) & F(b),Stay away from Angell St and find the Bookstore,G ( ! Angell St ) & F ( Bookstore )
G(!a) & F(b),Stay away from Angell St and find the Science Library,G ( ! Angell St ) & F ( Science Library )
G(!a) & F(b),Stay away from Angell St and find the Starbucks,G ( ! Angell St ) & F ( Starbucks )
G(!a) & F(b),Stay away from Angell St and find the Chipotle,G ( ! Angell St ) & F ( Chipotle )
G(!a) & F(b),Stay away from Angell St and find the Kabob and Curry,G ( ! Angell St ) & F ( Kabob and Curry )
G(!a) & F(b),Stay away from Angell St and find the CVS,G ( ! Angell St ) & F ( CVS )
G(!a) & F(b),Stay away from Angell St and find the Citizen's Bank,G ( ! Angell St ) & F ( Citizen's Bank )
G(!a) & F(b),Stay away from Angell St and find the Barus Building,G ( ! Angell St ) & F ( Barus Building )
G(!a) & F(b),Stay away from Angell St and find the Watson Center,G ( ! Angell St ) & F ( Watson Center )
G(!a) & F(b),Stay away from Angell St and find the Marston Hall,G ( ! Angell St ) & F ( Marston Hall )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the Science Library,G ( Thayer St ) & F ( Bookstore & F ( Science Library ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the Starbucks,G ( Thayer St ) & F ( Bookstore & F ( Starbucks ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the Chipotle,G ( Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the Kabob and Curry,G ( Thayer St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the CVS,G ( Thayer St ) & F ( Bookstore & F ( CVS ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Science Library and then find the Starbucks,G ( Thayer St ) & F ( Science Library & F ( Starbucks ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Science Library and then find the Chipotle,G ( Thayer St ) & F ( Science Library & F ( Chipotle ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Science Library and then find the Kabob and Curry,G ( Thayer St ) & F ( Science Library & F ( Kabob and Curry ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Science Library and then find the CVS,G ( Thayer St ) & F ( Science Library & F ( CVS ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Science Library and then find the Bookstore,G ( Thayer St ) & F ( Science Library & F ( Bookstore ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Starbucks and then find the Science Library,G ( Thayer St ) & F ( Starbucks & F ( Science Library ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Starbucks and then find the Chipotle,G ( Thayer St ) & F ( Starbucks & F ( Chipotle ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Starbucks and then find the Kabob and Curry,G ( Thayer St ) & F ( Starbucks & F ( Kabob and Curry ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Starbucks and then find the CVS,G ( Thayer St ) & F ( Starbucks & F ( CVS ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Starbucks and then find the Bookstore,G ( Thayer St ) & F ( Starbucks & F ( Bookstore ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Chipotle and then find the Science Library,G ( Thayer St ) & F ( Chipotle & F ( Science Library ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Chipotle and then find the Starbucks,G ( Thayer St ) & F ( Chipotle & F ( Starbucks ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Chipotle and then find the Kabob and Curry,G ( Thayer St ) & F ( Chipotle & F ( Kabob and Curry ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Chipotle and then find the CVS,G ( Thayer St ) & F ( Chipotle & F ( CVS ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Chipotle and then find the Bookstore,G ( Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Kabob and Curry and then find the Science Library,G ( Thayer St ) & F ( Kabob and Curry & F ( Science Library ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Kabob and Curry and then find the Starbucks,G ( Thayer St ) & F ( Kabob and Curry & F ( Starbucks ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Kabob and Curry and then find the Chipotle,G ( Thayer St ) & F ( Kabob and Curry & F ( Chipotle ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Kabob and Curry and then find the CVS,G ( Thayer St ) & F ( Kabob and Curry & F ( CVS ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Kabob and Curry and then find the Bookstore,G ( Thayer St ) & F ( Kabob and Curry & F ( Bookstore ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the CVS and then find the Science Library,G ( Thayer St ) & F ( CVS & F ( Science Library ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the CVS and then find the Starbucks,G ( Thayer St ) & F ( CVS & F ( Starbucks ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the CVS and then find the Chipotle,G ( Thayer St ) & F ( CVS & F ( Chipotle ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the CVS and then find the Kabob and Curry,G ( Thayer St ) & F ( CVS & F ( Kabob and Curry ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the CVS and then find the Bookstore,G ( Thayer St ) & F ( CVS & F ( Bookstore ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the Science Library,G ( Thayer St ) & F ( Bookstore & F ( Science Library ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the Starbucks,G ( Thayer St ) & F ( Bookstore & F ( Starbucks ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the Chipotle,G ( Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the Kabob and Curry,G ( Thayer St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(a) & F(b F(c)),Stay on the Thayer St first find the Bookstore and then find the CVS,G ( Thayer St ) & F ( Bookstore & F ( CVS ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Citizen's Bank and then find the Barus Building,G ( Brook St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Citizen's Bank and then find the Watson Center,G ( Brook St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Citizen's Bank and then find the Marston Hall,G ( Brook St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Barus Building and then find the Watson Center,G ( Brook St ) & F ( Barus Building & F ( Watson Center ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Barus Building and then find the Marston Hall,G ( Brook St ) & F ( Barus Building & F ( Marston Hall ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Barus Building and then find the Citizen's Bank,G ( Brook St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Marston Hall and then find the Watson Center,G ( Brook St ) & F ( Marston Hall & F ( Watson Center ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Marston Hall and then find the Barus Building,G ( Brook St ) & F ( Marston Hall & F ( Barus Building ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Marston Hall and then find the Citizen's Bank,G ( Brook St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Watson Center and then find the Marston Hall,G ( Brook St ) & F ( Watson Center & F ( Marston Hall ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Watson Center and then find the Barus Building,G ( Brook St ) & F ( Watson Center & F ( Barus Building ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Watson Center and then find the Citizen's Bank,G ( Brook St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Citizen's Bank and then find the Barus Building,G ( Brook St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Citizen's Bank and then find the Watson Center,G ( Brook St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Citizen's Bank and then find the Marston Hall,G ( Brook St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Barus Building and then find the Watson Center,G ( Brook St ) & F ( Barus Building & F ( Watson Center ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Barus Building and then find the Marston Hall,G ( Brook St ) & F ( Barus Building & F ( Marston Hall ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Barus Building and then find the Citizen's Bank,G ( Brook St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Marston Hall and then find the Watson Center,G ( Brook St ) & F ( Marston Hall & F ( Watson Center ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Marston Hall and then find the Barus Building,G ( Brook St ) & F ( Marston Hall & F ( Barus Building ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Marston Hall and then find the Citizen's Bank,G ( Brook St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Watson Center and then find the Marston Hall,G ( Brook St ) & F ( Watson Center & F ( Marston Hall ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Watson Center and then find the Barus Building,G ( Brook St ) & F ( Watson Center & F ( Barus Building ) )
G(a) & F(b F(c)),Stay on the Brook St first find the Watson Center and then find the Citizen's Bank,G ( Brook St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(a) & F(b F(c)),Stay on the Angell St first find the Chipotle and then find the Bookstore,G ( Angell St ) & F ( Chipotle & F ( Bookstore ) )
G(a) & F(b F(c)),Stay on the Angell St first find the Bookstore and then find the Chipotle,G ( Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(a) & F(b F(c)),Stay on the Angell St first find the Chipotle and then find the Bookstore,G ( Angell St ) & F ( Chipotle & F ( Bookstore ) )
G(a) & F(b F(c)),Stay on the Angell St first find the Bookstore and then find the Chipotle,G ( Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(a) & F(b F(c)),Stay on the Angell St first find the Chipotle and then find the Bookstore,G ( Angell St ) & F ( Chipotle & F ( Bookstore ) )
G(a) & F(b F(c)),Stay on the Angell St first find the Bookstore and then find the Chipotle,G ( Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Science Library,G ( ! Brook St ) & F ( Bookstore & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Starbucks,G ( ! Brook St ) & F ( Bookstore & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Kabob and Curry,G ( ! Brook St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the CVS,G ( ! Brook St ) & F ( Bookstore & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Science Library and then find the Starbucks,G ( ! Brook St ) & F ( Science Library & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Science Library and then find the Chipotle,G ( ! Brook St ) & F ( Science Library & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Science Library and then find the Kabob and Curry,G ( ! Brook St ) & F ( Science Library & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Science Library and then find the CVS,G ( ! Brook St ) & F ( Science Library & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Science Library and then find the Bookstore,G ( ! Brook St ) & F ( Science Library & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Starbucks and then find the Science Library,G ( ! Brook St ) & F ( Starbucks & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Starbucks and then find the Chipotle,G ( ! Brook St ) & F ( Starbucks & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Starbucks and then find the Kabob and Curry,G ( ! Brook St ) & F ( Starbucks & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Starbucks and then find the CVS,G ( ! Brook St ) & F ( Starbucks & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Starbucks and then find the Bookstore,G ( ! Brook St ) & F ( Starbucks & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Chipotle and then find the Science Library,G ( ! Brook St ) & F ( Chipotle & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Chipotle and then find the Starbucks,G ( ! Brook St ) & F ( Chipotle & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Chipotle and then find the Kabob and Curry,G ( ! Brook St ) & F ( Chipotle & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Chipotle and then find the CVS,G ( ! Brook St ) & F ( Chipotle & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Chipotle and then find the Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Kabob and Curry and then find the Science Library,G ( ! Brook St ) & F ( Kabob and Curry & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Kabob and Curry and then find the Starbucks,G ( ! Brook St ) & F ( Kabob and Curry & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Kabob and Curry and then find the Chipotle,G ( ! Brook St ) & F ( Kabob and Curry & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Kabob and Curry and then find the CVS,G ( ! Brook St ) & F ( Kabob and Curry & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Kabob and Curry and then find the Bookstore,G ( ! Brook St ) & F ( Kabob and Curry & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the CVS and then find the Science Library,G ( ! Brook St ) & F ( CVS & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the CVS and then find the Starbucks,G ( ! Brook St ) & F ( CVS & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the CVS and then find the Chipotle,G ( ! Brook St ) & F ( CVS & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the CVS and then find the Kabob and Curry,G ( ! Brook St ) & F ( CVS & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the CVS and then find the Bookstore,G ( ! Brook St ) & F ( CVS & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Science Library,G ( ! Brook St ) & F ( Bookstore & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Starbucks,G ( ! Brook St ) & F ( Bookstore & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Kabob and Curry,G ( ! Brook St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the CVS,G ( ! Brook St ) & F ( Bookstore & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the Science Library,G ( ! Angell St ) & F ( Bookstore & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the Starbucks,G ( ! Angell St ) & F ( Bookstore & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the Chipotle,G ( ! Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the Kabob and Curry,G ( ! Angell St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the CVS,G ( ! Angell St ) & F ( Bookstore & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Science Library and then find the Starbucks,G ( ! Angell St ) & F ( Science Library & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Science Library and then find the Chipotle,G ( ! Angell St ) & F ( Science Library & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Science Library and then find the Kabob and Curry,G ( ! Angell St ) & F ( Science Library & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Science Library and then find the CVS,G ( ! Angell St ) & F ( Science Library & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Science Library and then find the Bookstore,G ( ! Angell St ) & F ( Science Library & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Starbucks and then find the Science Library,G ( ! Angell St ) & F ( Starbucks & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Starbucks and then find the Chipotle,G ( ! Angell St ) & F ( Starbucks & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Starbucks and then find the Kabob and Curry,G ( ! Angell St ) & F ( Starbucks & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Starbucks and then find the CVS,G ( ! Angell St ) & F ( Starbucks & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Starbucks and then find the Bookstore,G ( ! Angell St ) & F ( Starbucks & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Chipotle and then find the Science Library,G ( ! Angell St ) & F ( Chipotle & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Chipotle and then find the Starbucks,G ( ! Angell St ) & F ( Chipotle & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Chipotle and then find the Kabob and Curry,G ( ! Angell St ) & F ( Chipotle & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Chipotle and then find the CVS,G ( ! Angell St ) & F ( Chipotle & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Chipotle and then find the Bookstore,G ( ! Angell St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Kabob and Curry and then find the Science Library,G ( ! Angell St ) & F ( Kabob and Curry & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Kabob and Curry and then find the Starbucks,G ( ! Angell St ) & F ( Kabob and Curry & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Kabob and Curry and then find the Chipotle,G ( ! Angell St ) & F ( Kabob and Curry & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Kabob and Curry and then find the CVS,G ( ! Angell St ) & F ( Kabob and Curry & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Kabob and Curry and then find the Bookstore,G ( ! Angell St ) & F ( Kabob and Curry & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the CVS and then find the Science Library,G ( ! Angell St ) & F ( CVS & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the CVS and then find the Starbucks,G ( ! Angell St ) & F ( CVS & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the CVS and then find the Chipotle,G ( ! Angell St ) & F ( CVS & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the CVS and then find the Kabob and Curry,G ( ! Angell St ) & F ( CVS & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the CVS and then find the Bookstore,G ( ! Angell St ) & F ( CVS & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the Science Library,G ( ! Angell St ) & F ( Bookstore & F ( Science Library ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the Starbucks,G ( ! Angell St ) & F ( Bookstore & F ( Starbucks ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the Chipotle,G ( ! Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the Kabob and Curry,G ( ! Angell St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Bookstore and then find the CVS,G ( ! Angell St ) & F ( Bookstore & F ( CVS ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Citizen's Bank and then find the Barus Building,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Barus Building ) )
